Displayname ,station_name,topic_heartbeat,topic_heartbeatPI5,topic_meter,topic_PowerModule,topic_Router,Number of Charger heads,topic_PLCData,collection_PowerModule,collection_Meter,collection_Router,collection_StatePLC,collection_HeartbeatFallingEdge,expectedPmHead1,expectedPmHead2,topic_fanRPM
KhaoKhansong,KhaoKhansong,OCPP/PT100_KhaoKhansong/heartbeat,OCPP/KhaoKhansong/heartbeatPI5,OCPP/PT100_KhaoKhansong/meter,OCPP/KhaoKhansong/PowerModule,Khaokhansong,2,OCPP/KhaoKhansong/PLC,KhaoKhansong,KhaoKhansong,KhaoKhansong,KhaoKhansong,KhaoKhansong,2,3,Khaokhansong/RPM
KhaoYoi,KhaoYoi,OCPP/KhaoYoi/heartbeat,OCPP/KhaoYoi/heartbeatPI5,OCPP/KhaoYoi/meter,OCPP/KhaoYoi/PowerModule,KhaoYoi,2,OCPP/KhaoYoi/PLC,KhaoYoi,KhaoYoi,KhaoYoi,KhaoYoi,KhaoYoi,2,3,KhaoYoi/RPM
KhlongLuang6,KhlongLuang6,OCPP/PT100_Klongluang6/heartbeat,OCPP/KhlongLuang6/heartbeatPI5,OCPP/PT100_Klongluang6/meter,OCPP/KhlongLuang6/PowerModule,Luang6,2,OCPP/KhlongLuang6/PLC,KhlongLuang6,Klongluang6,KhlongLuang6,KhlongLuang6,KhlongLuang6,2,3,Luang6/RPM
KingKaew2,KingKaew2,OCPP/Elex_KingKaew2_1/heartbeat,OCPP/KingKaew2/heartbeatPI5,OCPP/Elex_KingKaew2_1/meter,OCPP/KingKaew2/PowerModule,KingKaew2,2,OCPP/KingKaew2/PLC,KingKaew2,KingKaew2,KingKaew2,KingKaew2,KingKaew2,2,3,KingKaew2/RPM
Klaeng11,Klaeng11,OCPP/PT100_Klaeng11_DC_1/heartbeat,OCPP/Klaeng11/heartbeatPI5,OCPP/PT100_Klaeng11_DC_1/meter,OCPP/Klaeng11/PowerModule,Klaeng11,2,OCPP/Klaeng11/PLC,Klaeng11,Klaeng11,Klaeng11,Klaeng11,Klaeng11,2,3,Klaeng11/RPM
Klaeng12,Klaeng12,OCPP/Klaeng12/heartbeat,OCPP/Klaeng12/heartbeatPI5,OCPP/Klaeng12/meter,OCPP/Klaeng12/PowerModule,Klaeng12,2,OCPP/Klaeng12/PLC,Klaeng12,Klaeng12,Klaeng12,Klaeng12,Klaeng12,2,3,Klaeng12/RPM
Klong4,Klong4,OCPP/PT_Klong4/heartbeat,OCPP/Klong4/heartbeatPI5,OCPP/PT_Klong4/meter,OCPP/Klong4/PowerModule,Klong4,2,OCPP/Klong4/PLC,Klong4,Klong4,Klong4,Klong4,Klong4,2,3,Klong4/RPM
Klongluang10,Klongluang10,OCPP/PT100_Klongluang10_DC_1/heartbeat,OCPP/Klongluang10/heartbeatPI5,OCPP/PT100_Klongluang10_DC_1/meter,OCPP/Klongluang10/PowerModule,KhlongLueng10,2,OCPP/Klongluang10/PLC,Klongluang10,Klongluang10,Klongluang10,Klongluang10,Klongluang10,2,3,KhlongLueng10/RPM
Klongluang3,Klongluang3,OCPP/PT100_Klongluang3/heartbeat,OCPP/Klongluang3/heartbeatPI5,OCPP/PT100_Klongluang3/meter,OCPP/Klongluang3/PowerModule,Luang3,2,OCPP/Klongluang3/PLC,Klongluang3,Klongluang3,Klongluang3,Klongluang3,Klongluang3,2,3,Klongluang3/RPM
Klongluang4,Klongluang4,OCPP/PT100_Klongluang4/heartbeat,OCPP/Klongluang4/heartbeatPI5,OCPP/PT100_Klongluang4/meter,OCPP/Klongluang4/PowerModule,Lung4,2,OCPP/Klongluang4/PLC,Klongluang4,Klongluang4,Klongluang4,Klongluang4,Klongluang4,2,3,Klongluang4/RPM
KrokPhra2,KrokPhra2,OCPP/PT100_KrokPhra2/heartbeat,OCPP/KrokPhra2/heartbeatPI5,OCPP/PT100_KrokPhra2/meter,OCPP/KrokPhra2/PowerModule,KrokPhra2,2,OCPP/KrokPhra2/PLC,KrokPhra2,KrokPhra2,KrokPhra2,KrokPhra2,KrokPhra2,2,3,KrokPhra2/RPM
KrungthepKreetha2,KrungthepKreetha2,OCPP/KrungthepKreetha2/heartbeat,OCPP/KrungthepKreetha2/heartbeatPI5,OCPP/KrungthepKreetha2/meter,OCPP/KrungthepKreetha2/PowerModule,Kitha2,2,OCPP/KrungthepKreetha2/PLC,KrungthepKreetha2,KrungthepKreetha2,KrungthepKreetha2,KrungthepKreetha2,Kreetha2,2,3,KrungthepKreetha2/RPM
KuiBuri,KuiBuri,OCPP/KuiBuri/heartbeat,OCPP/KuiBuri/heartbeatPI5,OCPP/KuiBuri/meter,OCPP/KuiBuri/PowerModule,KuiBuri,2,OCPP/KuiBuri/PLC,KuiBuri,KuiBuri,KuiBuri,KuiBuri,KuiBuri,2,3,KuiBuri/RPM
KungPhatthana,KungPhatthana,OCPP/KungPhatthana/heartbeat,OCPP/KungPhatthana/heartbeatPI5,OCPP/KungPhatthana/meter,OCPP/KungPhatthana/PowerModule,KungPhatthana,2,OCPP/KungPhatthana/PLC,KungPhatthana,KungPhatthana,KungPhatthana,KungPhatthana,KungPhatthana,2,3,KungPhatthana/RPM
Lamae3,Lamae3,OCPP/Elex_PT_Lamae3_1/heartbeat,OCPP/Lamae3/heartbeatPI5,OCPP/Elex_PT_Lamae3_1/meter,OCPP/Lamae3/PowerModule,Lamae3,2,OCPP/Lamae3/PLC,Lamae3,Lamae3,Lamae3,Lamae3,Lamae3,2,3,Lamae3/RPM
LamLukKa8,LamLukKa8,OCPP/Elex_PT_LamLukKa8_1/heartbeat,OCPP/LamLukKa8/heartbeatPI5,OCPP/Elex_PT_LamLukKa8_1/meter,OCPP/LamLukKa8/PowerModule,LamLukKa8,2,OCPP/LamLukKa8/PLC,LatLumKaeo6,LamLukKa8,LamLukKa8,LamLukKa8,LamLukKa8,2,3,LamLukKa8/RPM
lamphun2,lamphun2,OCPP/lamphun2/heartbeat,OCPP/lamphun2/heartbeatPI5,OCPP/lamphun2/meter,OCPP/lamphun2/PowerModule,Lamphun2,2,OCPP/lamphun2/PLC,lamphun2,lamphun2,Lamphun2,lamphun2,lamphun2,2,3,Lamphun2/RPM
Latkrabang6,Latkrabang6,OCPP/Elex_Latkrabang6_1/heartbeat,OCPP/Latkrabang6/heartbeatPI5,OCPP/Elex_Latkrabang6_1/meter,OCPP/Latkrabang6/PowerModule,Latkrabang6,2,OCPP/Latkrabang6/PLC,Latkrabang6,Latkrabang6,Latkrabang6,Latkrabang6,Latkrabang6,2,3,Latkrabang6/RPM
LatLumKaeo6,LatLumKaeo6,OCPP/Elex_PT_LatLumKaeo6_1/heartbeat,OCPP/LatLumKaeo6/heartbeatPI5,OCPP/Elex_PT_LatLumKaeo6_1/meter,OCPP/LatLumKaeo6/PowerModule,LatLumKaeo6,2,OCPP/LatLumKaeo6/PLC,LatLumKaeo6,LatLumKaeo6,LatLumKaeo6,LatLumKaeo6,LatLumKaeo6,2,3,LatLumKaeo6/RPM
LatPhraoWangHin1,LatPhraoWangHin1,OCPP/LatPhraoWangHin1/heartbeat,OCPP/LatPhraoWangHin1/heartbeatPI5,OCPP/LatPhraoWangHin1/meter,OCPP/LatPhraoWangHin1/PowerModule,LatPhraoWangHin1,2,OCPP/LatPhraoWangHin1/PLC,LatPhraoWangHin1,LatPhraoWangHin1,LatPhraoWangHin1,LatPhraoWangHin1,LatPhraoWangHin1,2,3,LatPhraoWangHin1/RPM
LatPhraoWangHin2,LatPhraoWangHin2,OCPP/LatPhraoWangHin2/heartbeat,OCPP/LatPhraoWangHin2/heartbeatPI5,OCPP/LatPhraoWangHin2/meter,OCPP/LatPhraoWangHin2/PowerModule,LatPhraoWangHin2,2,OCPP/LatPhraoWangHin2/PLC,LatPhraoWangHin2,LatPhraoWangHin2,LatPhraoWangHin2,LatPhraoWangHin2,LatPhraoWangHin2,2,3,LatPhraoWangHin2/RPM
LatPhraoWangHin3,LatPhraoWangHin3,OCPP/LatPhraoWangHin3/heartbeat,OCPP/LatPhraoWangHin3/heartbeatPI5,OCPP/LatPhraoWangHin3/meter,OCPP/LatPhraoWangHin3/PowerModule,LatPhraoWangHin3,2,OCPP/LatPhraoWangHin3/PLC,LatPhraoWangHin3,LatPhraoWangHin3,LatPhraoWangHin3,LatPhraoWangHin3,LatPhraoWangHin3,2,3,LatPhraoWangHin3/RPM
LatPhraoWangHin4,LatPhraoWangHin4,OCPP/LatPhraoWangHin4/heartbeat,OCPP/LatPhraoWangHin4/heartbeatPI5,OCPP/LatPhraoWangHin4/meter,OCPP/LatPhraoWangHin4/PowerModule,LatPhraoWangHin4,2,OCPP/LatPhraoWangHin4/PLC,LatPhraoWangHin4,LatPhraoWangHin4,LatPhraoWangHin4,LatPhraoWangHin4,LatPhraoWangHin4,2,3,LatPhraoWangHin4/RPM
LatPhraoWangHin5,LatPhraoWangHin5,OCPP/LatPhraoWangHin5/heartbeat,OCPP/LatPhraoWangHin5/heartbeatPI5,OCPP/LatPhraoWangHin5/meter,OCPP/LatPhraoWangHin5/PowerModule,LatPhraoWangHin5,2,OCPP/LatPhraoWangHin5/PLC,LatPhraoWangHin5,LatPhraoWangHin5,LatPhraoWangHin5,LatPhraoWangHin5,LatPhraoWangHin5,2,3,LatPhraoWangHin5/RPM
LatPlaDuk2,LatPlaDuk2,OCPP/Ladpladuk2/heartbeat,OCPP/LatPlaDuk2/heartbeatPI5,OCPP/Ladpladuk2/meter,OCPP/LatPlaDuk2/PowerModule,Ladpladuk,2,OCPP/LatPlaDuk2/PLC,LatPlaDuk2,Ladpladuk2,LatPlaDuk2,LatPlaDuk2,LatPlaDuk2,2,3,Ladpladuk/RPM
LiangMuangChon1,LiangMuangChon1,OCPP/LiangMuangChon1/heartbeat,OCPP/LiangMuangChon1/heartbeatPI5,OCPP/LiangMuangChon1/meter,OCPP/LiangMuangChon1/PowerModule,MChon1,2,OCPP/LiangMuangChon1/PLC,LiangMuangChon1,LiangMuangChon1,LiangMuangChon1,LiangMuangChon1,LiangMuangChon1,2,3,LiangMuangChon1/RPM
LTK1,LTK1,OCPP/LTK1/heartbeat,OCPP/LTK1/heartbeatPI5,OCPP/LTK1/meter,OCPP/LTK1/PowerModule,LTK1,2,OCPP/LTK1/PLC,LTK1,LTK1,LTK1,LTK1,LTK1,2,3,LTK1/RPM
MaeChan,MaeChan,OCPP/Elex_DC_PT_MaeChan_1/heartbeat,OCPP/MaeChan/heartbeatPI5,OCPP/Elex_DC_PT_MaeChan_1/meter,OCPP/MaeChan/PowerModule,MaeChan,2,OCPP/MaeChan/PLC,MaeChan,MaeChan_1,MaeChan,MaeChan,MaeChan,2,3,MaeChan/RPM
MahaSarakham,MahaSarakham,OCPP/PT_MahaSarakham/heartbeat,OCPP/MahaSarakham/heartbeatPI5,OCPP/PT_MahaSarakham/meter,OCPP/MahaSarakham/PowerModule,MahaSarakham,2,OCPP/MahaSarakham/PLC,MahaSarakham,MahaSarakham,MahaSarakham,MahaSarakham,MahaSarakham,2,3,MahaSarakham/RPM
MahaSarakham1,MahaSarakham1,OCPP/MahaSarakham1/heartbeat,OCPP/MahaSarakham1/heartbeatPI5,OCPP/MahaSarakham1/meter,OCPP/MahaSarakham1/PowerModule,Mahasarakam21,2,OCPP/MahaSarakham1/PLC,MahaSarakham1,MahaSarakham1,MahaSarakham1,MahaSarakham1,MahaSarakham1,2,3,Mahasarakam21/RPM
MahaSarakham2,MahaSarakham2,OCPP/MahaSarakham2/heartbeat,OCPP/MahaSarakham2/heartbeatPI5,OCPP/MahaSarakham2/meter,OCPP/MahaSarakham2/PowerModule,Mahasarakam22,2,OCPP/MahaSarakham2/PLC,MahaSarakham2,MahaSarakham2,MahaSarakham2,MahaSarakham2,MahaSarakham2,2,3,Mahasarakam22/RPM
Manorom2,Manorom2,OCPP/Elex_DC_PT_Manorom2_1/heartbeat,OCPP/Manorom2/heartbeatPI5,OCPP/Elex_DC_PT_Manorom2_1/meter,OCPP/Manorom2/PowerModule,Manorom2,2,OCPP/Manorom2/PLC,Manorom2,Manorom2,Manorom2,Manorom2,Manorom2,2,3,Manorom2/RPM
Mukdahan1,Mukdahan1,OCPP/Mukdahan1/heartbeat,OCPP/Mukdahan1/heartbeatPI5,OCPP/Mukdahan1/meter,OCPP/Mukdahan1/PowerModule,Mukdahan1,2,OCPP/Mukdahan1/PLC,Mukdahan1,Mukdahan1,Mukdahan1,Mukdahan1,Mukdahan1,2,3,Mukdahan1/RPM
NakhonChaiSi11_1,NakhonChaiSi11_1,OCPP/NakhonChaiSi11_1/heartbeat,OCPP/NakhonChaiSi11_1/heartbeatPI5,OCPP/NakhonChaiSi11_1/meter,OCPP/NakhonChaiSi11_1/PowerModule,NakhonChaiSi11_1,2,OCPP/NakhonChaiSi11_1/PLC,NakhonChaiSi11_1,NakhonChaiSi11_1,NakhonChaiSi11_1,NakhonChaiSi11_1,NakhonChaiSi11_1HB,2,3,NakhonChaiSi11_1/RPM
NakhonChaiSi11_2,NakhonChaiSi11_2,OCPP/NakhonChaiSi11_2/heartbeat,OCPP/NakhonChaiSi11_2/heartbeatPI5,OCPP/NakhonChaiSi11_2/meter,OCPP/NakhonChaiSi11_2/PowerModule,NakhonChaiSi11_2,2,OCPP/NakhonChaiSi11_2/PLC,NakhonChaiSi11_2,NakhonChaiSi11_2,NakhonChaiSi11_2,NakhonChaiSi11_2,NakhonChaiSi11_2HB,2,3,NakhonChaiSi11_2/RPM
NakhonChaiSi11_3,NakhonChaiSi11_3,OCPP/NakhonChaiSi11_3/heartbeat,OCPP/NakhonChaiSi11_3/heartbeatPI5,OCPP/NakhonChaiSi11_3/meter,OCPP/NakhonChaiSi11_3/PowerModule,NakhonChaiSi11_3,2,OCPP/NakhonChaiSi11_3/PLC,NakhonChaiSi11_3,NakhonChaiSi11_3,NakhonChaiSi11_3,NakhonChaiSi11_3,NakhonChaiSi11_3HB,2,3,NakhonChaiSi11_3/RPM
NakhonLuang4,NakhonLuang4,OCPP/NakhonLuang4/heartbeat,OCPP/NakhonLuang4/heartbeatPI5,OCPP/NakhonLuang4/meter,OCPP/NakhonLuang4/PowerModule,NakhonLuang4,2,OCPP/NakhonLuang4/PLC,NakhonLuang4,NakhonLuang4,NakhonLuang4,NakhonLuang4,NakhonLuang4,2,3,NakhonLuang4/RPM
NakhonPathom9,NakhonPathom9,OCPP/PT_NakhonPathom9/heartbeat,OCPP/NakhonPathom9/heartbeatPI5,OCPP/PT_NakhonPathom9/meter,OCPP/NakhonPathom9/PowerModule,Pathom9,2,OCPP/NakhonPathom9/PLC,NakhonPathom9,NakhonPathom9,NakhonPathom9,NakhonPathom9,NakhonPathom9,2,3,NakhonPathom9/RPM
Nakhonratchasima12,Nakhonratchasima12,OCPP/Elex_PT_Nakhonratchasima12_1/heartbeat,OCPP/Nakhonratchasima12/heartbeatPI5,OCPP/Elex_PT_Nakhonratchasima12_1/meter,OCPP/Nakhonratchasima12/PowerModule,Nakhonratchasima12,2,OCPP/Nakhonratchasima12/PLC,Nakhonratchasima12,Nakhonratchasima12,Nakhonratchasima12,Nakhonratchasima12,Nakhonratchasima12,2,3,Nakhonratchasima12/RPM
NakhonRatchasima8,NakhonRatchasima8,OCPP/PT100_NakhonRatchasima8/heartbeat,OCPP/NakhonRatchasima8/heartbeatPI5,OCPP/PT100_NakhonRatchasima8/meter,OCPP/NakhonRatchasima8/PowerModule,Sima8,2,OCPP/NakhonRatchasima8/PLC,NakhonRatchasima8,NakhonRatchasima8,NakhonRatchasima8,NakhonRatchasima8,NakhonRatchasima8,2,3,NakhonRatchasima8/RPM
NakhonSawan2,NakhonSawan2,OCPP/NakhonSawan2/heartbeat,OCPP/NakhonSawan2/heartbeatPI5,OCPP/NakhonSawan2/meter,OCPP/NakhonSawan2/PowerModule,NakhonSawan2,2,OCPP/NakhonSawan2/PLC,NakhonSawan2,NakhonSawan2,NakhonSawan2,NakhonSawan2,NakhonSawan2,2,3,NakhonSawan2/RPM
NamPhong,NamPhong,OCPP/NamPhong_1/heartbeat,OCPP/NamPhong/heartbeatPI5,OCPP/NamPhong_1/meter,OCPP/NamPhong/PowerModule,NamPhong,2,OCPP/NamPhong/PLC,NamPhong,NamPhong_1,NamPhong,NamPhong,NamPhong_1,2,3,NamPhong/RPM
Nhao,Nhao,OCPP/PT_Nhao_1/heartbeat,OCPP/Nhao/heartbeatPI5,OCPP/PT_Nhao_1/meter,OCPP/Nhao/PowerModule,Nhao,2,OCPP/Nhao/PLC,Nhao,Nhao_1,Nhao,Nhao,Nhao,2,3,Nhao/RPM
Nikompattana5,Nikompattana5,OCPP/PT100_Nikompattana5/heartbeat,OCPP/Nikompattana5/heartbeatPI5,OCPP/PT100_Nikompattana5/meter,OCPP/Nikompattana5/PowerModule,Pattana5,2,OCPP/Nikompattana5/PLC,Nikompattana5,Nikompattana5,Nikompattana5,Nikompattana5,Nikompattana5,2,3,Nikompattana5/RPM
NimitMai2,NimitMai2,OCPP/PT100_NimitMai2_DC_1/heartbeat,OCPP/NimitMai2/heartbeatPI5,OCPP/PT100_NimitMai2_DC_1/meter,OCPP/NimitMai2/PowerModule,NimitMai2,2,OCPP/NimitMai2/PLC,NimitMai2,NimitMai2,NimitMai2,NimitMai2,NimitMai2,2,3,NimitMai2/RPM
NongBunMak2,NongBunMak2,OCPP/PT_NONGBUNMAK2/heartbeat,OCPP/NongBunMak2/heartbeatPI5,OCPP/PT_NONGBUNMAK2/meter,OCPP/NongBunMak2/PowerModule,NongBunmak2,2,OCPP/NongBunMak2/PLC,NongBunMak2,NONGBUNMAK2,NongBunMak2,NongBunMak2,NongBunMak2,2,3,NongBunMak2/RPM
NongKhae,NongKhae,OCPP/NongKgae1/heartbeat,OCPP/NongKhae/heartbeatPI5,OCPP/NongKgae1/meter,OCPP/NongKhae/PowerModule,NongKhae1,2,OCPP/NongKhae/PLC,NongKhae,NongKgae1,NongKhae1,NongKhae,NongKhae,2,3,NongKhae/RPM
NongKhae5,NongKhae5,OCPP/PT100_NongKhae5/heartbeat,OCPP/NongKhae5/heartbeatPI5,OCPP/PT100_NongKhae5/meter,OCPP/NongKhae5/PowerModule,NonKhae5,2,OCPP/NongKhae5/PLC,NongKhae5,NongKhae5,NongKhae5,NongKhae5,NongKhae5,2,3,NonKhae5/RPM
NongKhaem,NongKhaem,OCPP/NongKhaem/heartbeat,OCPP/NongKhaem/heartbeatPI5,OCPP/NongKhaem/meter,OCPP/NongKhaem/PowerModule,NongKhaem,2,OCPP/NongKhaem/PLC,NongKhaem,NongKhaem,NongKhaem,NongKhaem,NongKhaem,2,3,NongKhaem/RPM
Nongki,Nongki,OCPP/Elex_DC_PT_Nongki_1/heartbeat,OCPP/Nongki/heartbeatPI5,OCPP/Elex_DC_PT_Nongki_1/meter,OCPP/Nongki/PowerModule,Nongki,2,OCPP/Nongki/PLC,Nongki,Nongki_1,Nongki,Nongki,Nongki,2,3,Nongki/RPM
NongRuea4,NongRuea4,OCPP/Elex_PT_NongRuea4_1/heartbeat,OCPP/NongRuea4/heartbeatPI5,OCPP/Elex_PT_NongRuea4_1/meter,OCPP/NongRuea4/PowerModule,NongRuea4,2,OCPP/NongRuea4/PLC,NongRuea4,NongRuea4,NongRuea4,NongRuea4,NongRuea4,2,3,NongRuea4/RPM
NonSung3,NonSung3,OCPP/NONSUNG_3/heartbeat,OCPP/NonSung3/heartbeatPI5,OCPP/NONSUNG_3/meter,OCPP/NonSung3/PowerModule,Nonsung,2,OCPP/NonSung3/PLC,NonSung3,NONSUNG_3,NonSung3,NonSung3,NonSung3,2,3,NonSung3/RPM
NonthaburiBridge,NonthaburiBridge,OCPP/NonthaburiBridge/heartbeat,OCPP/NonthaburiBridge/heartbeatPI5,OCPP/NonthaburiBridge/meter,OCPP/NonthaburiBridge/PowerModule,NonthaburiBridge,2,OCPP/NonthaburiBridge/PLC,NonthaburiBridge,NonthaburiBridge,NonthaburiBridge,NonthaburiBridge,NonthaburiBridge,2,3,NonthaburiBridge/RPM
NP1,NP1,OCPP/NP1/heartbeat,OCPP/NP1/heartbeatPI5,OCPP/NP1/meter,OCPP/NP1/PowerModule,NP1,2,OCPP/NP1/PLC,NP1,NP1,NP1,NP1,NP1,2,3,NP1 /RPM
Pai1_Silhouette,Pai1_Silhouette,OCPP/Pai/heartbeat,OCPP/Pai1_Silhouette/heartbeatPI5,OCPP/Pai/meter,OCPP/Pai1_Silhouette/PowerModule,PAI1,2,OCPP/Pai1_Silhouette/PLC,Pai1_Silhouette,Pai,Pai1_Silhouette,Pai1_Silhouette,Pai1_Silhouette,2,3,PAI1/RPM
PaIn1,PaIn1,OCPP/Elex_PT_PaIn1_1/heartbeat,OCPP/PaIn1/heartbeatPI5,OCPP/Elex_PT_PaIn1_1/meter,OCPP/PaIn1/PowerModule,PratunamPhraIn1,2,OCPP/PaIn1/PLC,PaIn1,PaIn1,PaIn1,PaIn1,PaIn1,2,3,PaIn1/RPM
PakChong2,PakChong2,OCPP/PakChong2/heartbeat,OCPP/PakChong2/heartbeatPI5,OCPP/PakChong2/meter,OCPP/PakChong2/PowerModule,PakChong2,2,OCPP/PakChong2/PLC,PakChong2,PakChong2,PakChong2,PakChong2,PakChong2,2,3,PakChong2/RPM
PakChong3,PakChong3,OCPP/PakChong3/heartbeat,OCPP/PakChong3/heartbeatPI5,OCPP/PakChong3/meter,OCPP/PakChong3/PowerModule,PakChong3,2,OCPP/PakChong3/PLC,PakChong3,PakChong3,PakChong3,PakChong3,PakChong3HB,2,3,PakChong3/RPM
PakChong5,PakChong5,OCPP/Elex_PakChong5_1/heartbeat,OCPP/PakChong5/heartbeatPI5,OCPP/Elex_PakChong5_1/meter,OCPP/PakChong5/PowerModule,Pakchong5,2,OCPP/PakChong5/PLC,PakChong5,PakChong5,PakChong5,PakChong5,PakChong5,2,3,Pakchong5/RPM
PakThongChai2,PakThongChai2,OCPP/PakThongChai2/heartbeat,OCPP/PakThongChai2/heartbeatPI5,OCPP/PakThongChai2/meter,OCPP/PakThongChai2/PowerModule,PakThongChai2,2,OCPP/PakThongChai2/PLC,PakThongChai2,PakThongChai2,PakThongChai2,PakThongChai2,PakThongChai2,2,3,PakThongChai2/RPM
PhanatNikhom3,PhanatNikhom3,OCPP/PhanatNikhom3/heartbeat,OCPP/PhanatNikhom3/heartbeatPI5,OCPP/PhanatNikhom3/meter,OCPP/PhanatNikhom3/PowerModule,PhanatNiKhom3,2,OCPP/PhanatNikhom3/PLC,PhanatNikhom3,PhanatNikhom3,PhanatNikhom3,PhanatNikhom3,PhanatNikhom3,2,3,PhanatNikhom3/RPM
PhanatNikhom7,PhanatNikhom7,OCPP/Elex_DC_PT_PhanatNikhom7_1/heartbeat,OCPP/PhanatNikhom7/heartbeatPI5,OCPP/Elex_DC_PT_PhanatNikhom7_1/meter,OCPP/PhanatNikhom7/PowerModule,PhanatNikhom7,2,OCPP/PhanatNikhom7/PLC,PhanatNikhom7,PhanatNikhom7,PhanatNikhom7,PhanatNikhom7,PhanatNikhom7,2,3,PhanatNikhom7/RPM
PhanomSarakham2,PhanomSarakham2,OCPP/PT100_PhanomSarakham2/heartbeat,OCPP/PhanomSarakham2/heartbeatPI5,OCPP/PT100_PhanomSarakham2/meter,OCPP/PhanomSarakham2/PowerModule,Phanomsarakham2,2,OCPP/PhanomSarakham2/PLC,PhanomSarakham2,PhanomSarakham2,PhanomSarakham2,PhanomSarakham2,PhanomSarakham2,2,3,Phanomsarakham2/RPM
PhanThong3,PhanThong3,OCPP/PT100_PhanThong3/heartbeat,OCPP/PhanThong3/heartbeatPI5,OCPP/PT100_PhanThong3/meter,OCPP/PhanThong3/PowerModule,PhanThong3,2,OCPP/PhanThong3/PLC,PhanThong3,PhanThong3,PhanThong3,PhanThong3,PhanThong3,2,3,PhanThong3/RPM
Phatthananikhom1,Phatthananikhom1,OCPP/Phatthananikhom1/heartbeat,OCPP/Phatthananikhom1/heartbeatPI5,OCPP/Phatthananikhom1/meter,OCPP/Phatthananikhom1/PowerModule,Nikhom1,2,OCPP/Phatthananikhom1/PLC,Phatthananikhom1,Phatthananikhom1,Phatthananikhom1,Phatthananikhom1,Phatthananikhom1,2,3,Phatthananikhom1/RPM
