Displayname ,station_name,topic_heartbeat,topic_heartbeatPI5,topic_meter,topic_PowerModule,topic_Router,Number of Charger heads,topic_PLCData,collection_PowerModule,collection_Meter,collection_Router,collection_StatePLC,collection_HeartbeatFallingEdge,expectedPmHead1,expectedPmHead2,topic_fanRPM
Phatthananikhom2,Phatthananikhom2,OCPP/Elex_PT_Phatthananikhom2_1/heartbeat,OCPP/Phatthananikhom2/heartbeatPI5,OCPP/Elex_PT_Phatthananikhom2_1/meter,OCPP/Phatthananikhom2/PowerModule,Phatthananikhom2,2,OCPP/Phatthananikhom2/PLC,Phatthananikhom2,Phatthananikhom2,Phatthananikhom2,Phatthananikhom2,Phatthana2,2,3,Phatthananikhom2/RPM
PhayuhaKhiri2,PhayuhaKhiri2,OCPP/PhayuhaKhiri2/heartbeat,OCPP/PhayuhaKhiri2/heartbeatPI5,OCPP/PhayuhaKhiri2/meter,OCPP/PhayuhaKhiri2/PowerModule,PhayuhaKhiri2,2,OCPP/PhayuhaKhiri2/PLC,PhayuhaKhiri2,PhayuhaKhiri2,PhayuhaKhiri2,PhayuhaKhiri2,PhayuhaKhiri2,2,3,PhayuhaKhiri2/RPM
Phetchabun1,Phetchabun1,OCPP/PT_Phetchabun1/heartbeat,OCPP/Phetchabun1/heartbeatPI5,OCPP/PT_Phetchabun1/meter,OCPP/Phetchabun1/PowerModule,Phetchabun1,2,OCPP/Phetchabun1/PLC,Phetchabun1,Phetchabun1,Phetchabun1,Phetchabun1,Phetchabun1,2,3,Phetchabun1/RPM
Phitsanulok3,Phitsanulok3,OCPP/PT100_Phitsanulok3/heartbeat,OCPP/Phitsanulok3/heartbeatPI5,OCPP/PT100_Phitsanulok3/meter,OCPP/Phitsanulok3/PowerModule,Nulok3,2,OCPP/Phitsanulok3/PLC,Phitsanulok3,Phitsanulok3,Phitsanulok3,Phitsanulok3,Phitsanulok3,2,3,Nulok3/RPM
Phitsanulok5,Phitsanulok5,OCPP/EleX_PT100_Phitsanulok5_DC_1/heartbeat,OCPP/Phitsanulok5/heartbeatPI5,OCPP/EleX_PT100_Phitsanulok5_DC_1/meter,OCPP/Phitsanulok5/PowerModule,Phitsanulok5,2,OCPP/Phitsanulok5/PLC,Phitsanulok5,Phitsanulok5,Phitsanulok5,Phitsanulok5,Phitsanulok5,2,3,Phitsanulok5/RPM
PHRAE1,PHRAE1,OCPP/PHRAE1/heartbeat,OCPP/PHRAE1/heartbeatPI5,OCPP/PHRAE1/meter,OCPP/PHRAE1/PowerModule,PHRAE1,2,OCPP/PHRAE1/PLC,PHRAE1,PHRAE1,PHRAE1,PHRAE1,PHRAE1,2,3,PHRAE1/RPM
Phraekkasa,Phraekkasa,OCPP/Phraekkasa/heartbeat,OCPP/Phraekkasa/heartbeatPI5,OCPP/Phraekkasa/meter,OCPP/Phraekkasa/PowerModule,Phraekkasa,2,OCPP/Phraekkasa/PLC,Phraekkasa,Phraekkasa,Phraekkasa,Phraekkasa,Phraekkasa,2,3,Phraekkasa/RPM
Phratep1,Phratep1,OCPP/Thanon_phartep/heartbeat,OCPP/Phratep1/heartbeatPI5,OCPP/Thanon_phartep/meter,OCPP/Phratep1/PowerModule,Thanonphartep,2,OCPP/Phratep1/PLC,Phratep1,Thanon phartep,Phratep1,Phratep1,Phratep1,2,3,Thanonphartep/RPM
PhromBuri2,PhromBuri2,OCPP/Elex_DC_PT_PhromBuri2_1/heartbeat,OCPP/PhromBuri2/heartbeatPI5,OCPP/Elex_DC_PT_PhromBuri2_1/meter,OCPP/PhromBuri2/PowerModule,PhromBuri2,2,OCPP/PhromBuri2/PLC,PhromBuri2,PhromBuri2,PhromBuri2,PhromBuri2,PhromBuri2,2,3,PhromBuri2/RPM
PhromPhiram6,PhromPhiram6,OCPP/PT100_PhromPhiram6/heartbeat,OCPP/PhromPhiram6/heartbeatPI5,OCPP/PT100_PhromPhiram6/meter,OCPP/PhromPhiram6/PowerModule,Phrom,2,OCPP/PhromPhiram6/PLC,PhromPhiram6,PhromPhiram6,PhromPhiram6,PhromPhiram6,PhromPhiram6,2,3,PhromPhiram6/RPM
Phutthamonthon3,Phutthamonthon3,OCPP/Phutthamonthon3/heartbeat,OCPP/Phutthamonthon3/heartbeatPI5,OCPP/Phutthamonthon3/meter,OCPP/Phutthamonthon3/PowerModule,Phutthamonthon3,2,OCPP/Phutthamonthon3/PLC,Phutthamonthon3,Phutthamonthon3,Phutthamonthon3,Phutthamonthon3,Phutthamonthon3,2,3,Phutthamonthon3/RPM
Phutthamonthon4,Phutthamonthon4,OCPP/Elex_PT_Phutthamonthon4_1/heartbeat,OCPP/Phutthamonthon4/heartbeatPI5,OCPP/Elex_PT_Phutthamonthon4_1/meter,OCPP/Phutthamonthon4/PowerModule,Phutthamonthon4,2,OCPP/Phutthamonthon4/PLC,Phutthamonthon4,Phutthamonthon4,Phutthamonthon4,Phutthamonthon4,Phutthamonthon4,2,3,Phutthamonthon4/RPM
Phutthamonthon5,Phutthamonthon5,OCPP/Phutthamonthon5/heartbeat,OCPP/Phutthamonthon5/heartbeatPI5,OCPP/Phutthamonthon5/meter,OCPP/Phutthamonthon5/PowerModule,Monthon5,2,OCPP/Phutthamonthon5/PLC,Phutthamonthon5,Phutthamonthon5,Phutthamonthon5,Phutthamonthon5,Phutthamonthon5,2,3,Monthon5/RPM
Poomipol,Poomipol,OCPP/Poomipol/heartbeat,OCPP/Poomipol/heartbeatPI5,OCPP/Poomipol/meter,OCPP/Poomipol/PowerModule,Poomipol,2,OCPP/Poomipol/PLC,Poomipol,Poomipol,Poomipol,Poomipol,Poomipol,2,3,Poomipol/RPM
Pranburi2,Pranburi2,OCPP/Elex_PT_Pranburi2_1/heartbeat,OCPP/Pranburi2/heartbeatPI5,OCPP/Elex_PT_Pranburi2_1/meter,OCPP/Pranburi2/PowerModule,Pranburi2,2,OCPP/Pranburi2/PLC,Pranburi2,Pranburi2,Pranburi2,Pranburi2,Pranburi2,2,3,Pranburi2/RPM
Prasat6,Prasat6,OCPP/Elex_DC_PT_Prasat6_1/heartbeat,OCPP/Prasat6/heartbeatPI5,OCPP/Elex_DC_PT_Prasat6_1/meter,OCPP/Prasat6/PowerModule,Prasat6,2,OCPP/Prasat6/PLC,Prasat6,Prasat6,Prasat6,Prasat6,Prasat6,2,3,Prasat6/RPM
Prawet4,Prawet4,OCPP/Elex_PT_Prawet4_1/heartbeat,OCPP/Prawet4/heartbeatPI5,OCPP/Elex_PT_Prawet4_1/meter,OCPP/Prawet4/PowerModule,Prawet4,2,OCPP/Prawet4/PLC,Prawet4,Prawet4,Prawet4,Prawet4,Prawet4,2,3,Prawet4/RPM
Rama2km26,Rama2km26,OCPP/Elex_Rama2km26_1/heartbeat,OCPP/Rama2km26/heartbeatPI5,OCPP/Elex_Rama2km26_1/meter,OCPP/Rama2km26/PowerModule,Rama2km26,2,OCPP/Rama2km26/PLC,Rama2km26,Rama2km26,Rama2km26,Rama2km26,Rama2km26,2,3,Rama2km26/RPM
Rama2km53,Rama2km53,OCPP/Elex_Rama2km53_1/heartbeat,OCPP/Rama2km53/heartbeatPI5,OCPP/Elex_Rama2km53_1/meter,OCPP/Rama2km53/PowerModule,Rama2km53,2,OCPP/Rama2km53/PLC,Rama2km53,Rama2km53,Rama2km53,Rama2km53,Rama2km53,2,3,Rama2km53/RPM
RamInthra40,RamInthra40,OCPP/EleX_RamInthra40_1/heartbeat,OCPP/RamInthra40/heartbeatPI5,OCPP/EleX_RamInthra40_1/meter,OCPP/RamInthra40/PowerModule,RamInthra40,2,OCPP/RamInthra40/PLC,RamInthra40,RamInthra40,RamInthra40,RamInthra40,RamInthra40,2,3,RamInthra40/RPM
Ranong1,Ranong1,OCPP/Ranong1/heartbeat,OCPP/Ranong1/heartbeatPI5,OCPP/Ranong1/meter,OCPP/Ranong1/PowerModule,Ranong1,2,OCPP/Ranong1/PLC,Ranong1,Ranong1,Ranong1,Ranong1,Ranong1,2,3,Ranong1/RPM
Ratchaburi7,Ratchaburi7,OCPP/PT_Ratchaburi_7/heartbeat,OCPP/Ratchaburi7/heartbeatPI5,OCPP/PT_Ratchaburi_7/meter,OCPP/Ratchaburi7/PowerModule,Ratchaburi7,2,OCPP/Ratchaburi7/PLC,Ratchaburi7,Ratchaburi7,Ratchaburi7,Ratchaburi7,Ratchaburi7,2,3,Ratchaburi7/RPM
Ratchaphruek,Ratchaphruek,OCPP/EleX_Ratchaphruek_DC_1/heartbeat,OCPP/Ratchaphruek/heartbeatPI5,OCPP/EleX_Ratchaphruek_DC_1/meter,OCPP/Ratchaphruek/PowerModule,Ratchaphruek,2,OCPP/Ratchaphruek/PLC,Ratchaphruek,Ratchaphruek,Ratchaphruek,Ratchaphruek,Ratchaphruek,2,3,Ratchaphruek/RPM
SamKhok3,SamKhok3,OCPP/Elex_PT_SamKhok3_1/heartbeat,OCPP/SamKhok3/heartbeatPI5,OCPP/Elex_PT_SamKhok3_1/meter,OCPP/SamKhok3/PowerModule,SamKhok3,2,OCPP/SamKhok3/PLC,SamKhok3,SamKhok3,Samkhok3,SamKhok3,SamKhok3,2,3,SamKhok3/RPM
SamRoiYot1,SamRoiYot1,OCPP/Elex_DC_PT_SamRoiYot1_1/heartbeat,OCPP/SamRoiYot1/heartbeatPI5,OCPP/Elex_DC_PT_SamRoiYot1_1/meter,OCPP/SamRoiYot1/PowerModule,SamRoiYot1,2,OCPP/SamRoiYot1/PLC,SamRoiYot1,SamRoiYot1,SamRoiYot1,SamRoiYot1,SamRoiYot1,2,3,SamRoiYot1/RPM
Samutprakan2,Samutprakan2,OCPP/EleX_Samutprakan2_DC_1/heartbeat,OCPP/Samutprakan2/heartbeatPI5,OCPP/EleX_Samutprakan2_DC_1/meter,OCPP/Samutprakan2/PowerModule,Samutprakan2,2,OCPP/Samutprakan2/PLC,Samutprakan2,Samutprakan2,Samutprakan2,Samutprakan2,Samutprakan2,2,3,Samutprakan2/RPM
Samutprakan5,Samutprakan5,OCPP/PT100_Samutprakan5_DC_1/heartbeat,OCPP/Samutprakan5/heartbeatPI5,OCPP/PT100_Samutprakan5_DC_1/meter,OCPP/Samutprakan5/PowerModule,Samutprakan5,2,OCPP/Samutprakan5/PLC,Samutprakan5,Samutprakan5,Samutprakan5,Samutprakan5,Samutprakan5,2,3,Samutprakan5/RPM
Samutsongkhram4,Samutsongkhram4,OCPP/Elex_Samutsongkhram4_1/heartbeat,OCPP/Samutsongkhram4/heartbeatPI5,OCPP/Elex_Samutsongkhram4_1/meter,OCPP/Samutsongkhram4/PowerModule,Samutsongkhram4,2,OCPP/Samutsongkhram4/PLC,Samutsongkhram4,Samutsongkhram4,Samutsongkhram4,Samutsongkhram4,Samutsongkhram4,2,3,Samutsongkhram4/RPM
Sangkha3,Sangkha3,OCPP/PT_Sangkha3/heartbeat,OCPP/Sangkha3/heartbeatPI5,OCPP/Sangkha3/meter,OCPP/Sangkha3/PowerModule,Sangkha3,2,OCPP/Sangkha3/PLC,Sangkha3,Sangkha3,Sangkha3,Sangkha3,Sangkha3,2,3,Sangkha3/RPM
SanKamphaeng6,SanKamphaeng6,OCPP/PT100_SanKamphaeng6/heartbeat,OCPP/SanKamphaeng6/heartbeatPI5,OCPP/PT100_SanKamphaeng6/meter,OCPP/SanKamphaeng6/PowerModule,SanKam6,2,OCPP/SanKamphaeng6/PLC,SanKamphaeng6,SanKamphaeng6,SanKamphaeng6,SanKamphaeng6,SanKamphaeng6,2,3,SanKam6/RPM
SanSai4,SanSai4,OCPP/SanSai4/heartbeat,OCPP/SanSai4/heartbeatPI5,OCPP/SanSai4/meter,OCPP/SanSai4/PowerModule,SanSai4,2,OCPP/SanSai4/PLC,SanSai4,SanSai4,SanSai4,SanSai4,SanSai4,2,3,SanSai4/RPM
SaphanSung,SaphanSung,OCPP/EleX_PT100_SaphanSung_DC_1/heartbeat,OCPP/SaphanSung/heartbeatPI5,OCPP/EleX_PT100_SaphanSung_DC_1/meter,OCPP/SaphanSung/PowerModule,SaphanSung,2,OCPP/SaphanSung/PLC,SaphanSung,SaphanSung,SaphanSung,SaphanSung,SaphanSung,2,3,SaphanSung/RPM
Saraphi2,Saraphi2,OCPP/Saraphi2/heartbeat,OCPP/Saraphi2/heartbeatPI5,OCPP/Saraphi2/meter,OCPP/Saraphi2/PowerModule,Saraphi2,2,OCPP/Saraphi2/PLC,Saraphi2,Saraphi2,Saraphi2,Saraphi2,Saraphi2,2,3,Saraphi2/RPM
Sikhio1,Sikhio1,OCPP/PT_Sikhio1/heartbeat,OCPP/Sikhio1/heartbeatPI5,OCPP/PT_Sikhio1/meter,OCPP/Sikhio1/PowerModule,Sikhio1,2,OCPP/Sikhio1/PLC,Sikhio1,Sikhio1,Sikhio1,Sikhio1,Sikhio1,2,3,Sikhio/RPM
Sikhio6,Sikhio6,OCPP/EleX_PT100_Sikhio6_1/heartbeat,OCPP/Sikhio6/heartbeatPI5,OCPP/EleX_PT100_Sikhio6_1/meter,OCPP/Sikhio6/PowerModule,Sikhio6,2,OCPP/Sikhio6/PLC,Sikhio6,Sikhio6,Sikhio6,Sikhio6,Sikhio6,2,3,Sikhio6/RPM
Siracha7,Siracha7,OCPP/PT100_Siracha7/heartbeat,OCPP/Siracha7/heartbeatPI5,OCPP/PT100_Siracha7/meter,OCPP/Siracha7/PowerModule,Siracha7,2,OCPP/Siracha7/PLC,Siracha7,Siracha7,Siracha7,Siracha7,Siracha7,2,3,Siracha7/RPM
Siracha8,Siracha8,OCPP/Siracha8/heartbeat,OCPP/Siracha8/heartbeatPI5,OCPP/Siracha8/meter,OCPP/Siracha8/PowerModule,Siracha8,2,OCPP/Siracha8/PLC,Siracha8,Siracha8,Siracha8,Siracha8,Siracha8,2,3,Siracha8/RPM
Siribaibun1,Siribaibun1,OCPP/Siribaibun1/heartbeat,OCPP/Siribaibun1/heartbeatPI5,OCPP/Siribaibun1/meter,OCPP/Siribaibun1/PowerModule,Siribaibun1,2,OCPP/Siribaibun1/PLC,Siribaibun1,Siribaibun1,Siribaibun1,Siribaibun1,Siribaibun1HB,2,3,Siribaibun1/RPM
Siribaibun2,Siribaibun2,OCPP/Siribaibun2/heartbeat,OCPP/Siribaibun2/heartbeatPI5,OCPP/Siribaibun2/meter,OCPP/Siribaibun2/PowerModule,Siribaibun2,2,OCPP/Siribaibun2/PLC,Siribaibun2,Siribaibun2,Siribaibun2,Siribaibun2,Siribaibun2HB,2,3,Siribaibun2/RPM
SNR1,SNR1,OCPP/SNR/heartbeat,OCPP/SNR1/heartbeatPI5,OCPP/SNR/meter,OCPP/SNR1/PowerModule,SNR1,2,OCPP/SNR1/PLC,SNR1,SNR,SNR1,SNR1,SNR1,2,3,SNR1/RPM
SopPrap,SopPrap,OCPP/PT100_SopPrap_DC_1/heartbeat,OCPP/SopPrap/heartbeatPI5,OCPP/PT100_SopPrap_DC_1/meter,OCPP/SopPrap/PowerModule,SopPrap,2,OCPP/SopPrap/PLC,SopPrap,SopPrap,SopPrap,SopPrap,SopPrap,2,3,SopPrap/RPM
SRT1,SRT1,OCPP/SRT1/heartbeat,OCPP/SRT1/heartbeatPI5,OCPP/SRT1/meter,OCPP/SRT1/PowerModule,SRT1,2,OCPP/SRT1/PLC,SRT1,SRT1,SRT1,SRT1,SRT1,2,3,SRT1/RPM
SuwinthawonKm28,SuwinthawonKm28,OCPP/Elex_SuwinthawonKm28_1/heartbeat,OCPP/SuwinthawonKm28/heartbeatPI5,OCPP/Elex_SuwinthawonKm28_1/meter,OCPP/SuwinthawonKm28/PowerModule,SuwinthawonKm28,2,OCPP/SuwinthawonKm28/PLC,SuwinthawonKm28,SuwinthawonKm28,SuwinthawonKm28,SuwinthawonKm28,SuwinthawonKm28,2,3,SuwinthawonKm28/RPM
Swangweerawong,Swangweerawong,OCPP/Elex_DC_PT_Swangweerawong_1/heartbeat,OCPP/Swangweerawong/heartbeatPI5,OCPP/Elex_DC_PT_Swangweerawong_1/meter,OCPP/Swangweerawong/PowerModule,Swangweerawong,2,OCPP/Swangweerawong/PLC,Swangweerawong,Swangweerawong_1,Swangweerawong,Swangweerawong,Swangweerawong,2,3,Swangweerawong/RPM
TACT30KW,TACT30KW,OCPP/TACT30KW/heartbeat,OCPP/TACT30KW/heartbeatPI5,OCPP/TACT30KW/meter,OCPP/TACT30KW/PowerModule,TACT30KW,1,OCPP/TACT30KW/PLC,TACT30KW,TACT30KW,TACT30KW,TACT30KW,TACT30KWHB,2,3,TACT30KW/RPM
Tak,Tak,OCPP/Elex_BPTG_Tak_1/heartbeat,OCPP/Tak/heartbeatPI5,OCPP/Elex_BPTG_Tak_1/meter,OCPP/Tak/PowerModule,BPTG_Tak,2,OCPP/Tak/PLC,Tak,Tak_1,Tak,Tak,Tak,2,3,BPTG_Tak/RPM
Tak2,Tak2,OCPP/EleX_PT100_Tak2_1/heartbeat,OCPP/Tak2/heartbeatPI5,OCPP/EleX_PT100_Tak2_1/meter,OCPP/Tak2/PowerModule,Tak2,2,OCPP/Tak2/PLC,Tak2,Tak2,Tak2,Tak2,Tak2,2,3,Tak2/RPM
Taphong3,Taphong3,OCPP/Taphong3/heartbeat,OCPP/Taphong3/heartbeatPI5,OCPP/Taphong3/meter,OCPP/Taphong3/PowerModule,Taphong3,2,OCPP/Taphong3/PLC,Taphong3,Taphong3,Taphong3,Taphong3,Taphong3,2,3,Taphong3/RPM
TaSai2,TaSai2,OCPP/EleX_TaSai2_1/heartbeat,OCPP/TaSai2/heartbeatPI5,OCPP/EleX_TaSai2_1/meter,OCPP/TaSai2/PowerModule,TaSai2,2,OCPP/TaSai2/PLC,TaSai2,TaSai2,TaSai2,TaSai2,TaSai2,2,3,TaSai2/RPM
ThaMaka3,ThaMaka3,OCPP/Elex_DC_PT_ThaMaka3_1/heartbeat,OCPP/ThaMaka3/heartbeatPI5,OCPP/Elex_DC_PT_ThaMaka3_1/meter,OCPP/ThaMaka3/PowerModule,ThaMaka3,2,OCPP/ThaMaka3/PLC,ThaMaka3,ThaMaka3,ThaMaka3,ThaMaka3,ThaMaka3,2,3,ThaMaka3/RPM
ThanonChan,ThanonChan,OCPP/Thanon_Chan/heartbeat,OCPP/ThanonChan/heartbeatPI5,OCPP/Thanon_Chan/meter,OCPP/ThanonChan/PowerModule,ThanonChan,2,OCPP/ThanonChan/PLC,ThanonChan,Thanon Chan,ThanonChan,ThanonChan,ThanonChan,2,3,ThanonChan/RPM
ThanonChaoKhunThahan3,ThanonChaoKhunThahan3,OCPP/ThanonChaoKhunThahan3/heartbeat,OCPP/ThanonChaoKhunThahan3/heartbeatPI5,OCPP/ThanonChaoKhunThahan3/meter,OCPP/ThanonChaoKhunThahan3/PowerModule,ThanonChaoKhunThahan3,2,OCPP/ThanonChaoKhunThahan3/PLC,ThanonChaoKhunThahan3,ThanonChaoKhunThahan3,ThanonChaoKhunThahan3,ThanonChaoKhunThahan3,ThanonChaoKhunThahan3,2,3,ThanonChaoKhunThahan3/RPM
ThanonPhutthaBucha1,ThanonPhutthaBucha1,OCPP/ThanonPhutthaBucha1/heartbeat,OCPP/ThanonPhutthaBucha1/heartbeatPI5,OCPP/ThanonPhutthaBucha1/meter,OCPP/ThanonPhutthaBucha1/PowerModule,ThanonPhutthaBucha1,2,OCPP/ThanonPhutthaBucha1/PLC,ThanonPhutthaBucha1,ThanonPhutthaBucha1,ThanonPhutthaBucha1,ThanonPhutthaBucha1,ThanonPhutthaBucha1,2,3,ThanonPhutthaBucha1/RPM
ThanonRatUthit2,ThanonRatUthit2,OCPP/Elex_PT100_ThanonRatUthit2_1/heartbeat,OCPP/ThanonRatUthit2/heartbeatPI5,OCPP/Elex_PT100_ThanonRatUthit2_1/meter,OCPP/ThanonRatUthit2/PowerModule,ThanonRatUthit2,2,OCPP/ThanonRatUthit2/PLC,ThanonRatUthit2,ThanonRatUthit2,ThanonRatUthit2,ThanonRatUthit2,ThanonRatUthit2,2,3,ThanonRatUthit2/RPM
ThanonSukprayu1,ThanonSukprayu1,OCPP/PT100_ThanonSukprayu1/heartbeat,OCPP/ThanonSukprayu1/heartbeatPI5,OCPP/PT100_ThanonSukprayu1/meter,OCPP/ThanonSukprayu1/PowerModule,Prayu1,2,OCPP/ThanonSukprayu1/PLC,ThanonSukprayu1,ThanonSukprayu1,ThanonSukprayu1,ThanonSukprayu1,Sukprayu1,2,3,ThanonSukprayu1/RPM
Thepharak2,Thepharak2,OCPP/EleX_Thepharak2_DC_1/heartbeat,OCPP/Thepharak2/heartbeatPI5,OCPP/EleX_Thepharak2_DC_1/meter,OCPP/Thepharak2/PowerModule,Thepharak2,2,OCPP/Thepharak2/PLC,Thepharak2,Thepharak2,Thepharak2,Thepharak2,Thepharak2,2,3,Thepharak2/RPM
Thepharak4,Thepharak4,OCPP/Thepharak4/heartbeat,OCPP/Thepharak4/heartbeatPI5,OCPP/Thepharak4/meter,OCPP/Thepharak4/PowerModule,Thepharak4,2,OCPP/Thepharak4/PLC,Thepharak4,Thepharak4,Thepharak4,Thepharak4,Thepharak4,2,3,Thepharak4/RPM
Thoen3,Thoen3,OCPP/PT100_Thoen3/heartbeat,OCPP/Thoen3/heartbeatPI5,OCPP/PT100_Thoen3/meter,OCPP/Thoen3/PowerModule,Thoen3,2,OCPP/Thoen3/PLC,Thoen3,Thoen3,Thoen3,Thoen3,Thoen3,2,3,Thoen3/RPM
Thungtako1,Thungtako1,OCPP/Elex_Thungtako1_1/heartbeat,OCPP/Thungtako1/heartbeatPI5,OCPP/Elex_Thungtako1_1/meter,OCPP/Thungtako1/PowerModule,Thungtako1,2,OCPP/Thungtako1/PLC,Thungtako1,Thungtako1,Thungtako1,Thungtako1,Thungtako1,2,3,Thungtako1/RPM
UdonThani,UdonThani,OCPP/PT_UdonThani_1/heartbeat,OCPP/UdonThani/heartbeatPI5,OCPP/PT_UdonThani_1/meter,OCPP/UdonThani/PowerModule,UdonThani5,2,OCPP/UdonThani/PLC,UdonThani,UdonThani_1,UdonThani,UdonThani,UdonThani,2,3,UdonThani5/RPM
UThai,UThai,OCPP/PT_UThai/heartbeat,OCPP/UThai/heartbeatPI5,OCPP/PT_UThai/meter,OCPP/UThai/PowerModule,Uthai1,2,OCPP/UThai/PLC,Uthai,UThai,UThai,UThai,UThai,2,3,UThai/RPM
Uttaradit,Uttaradit,OCPP/PT100_Uttaradit/heartbeat,OCPP/Uttaradit/heartbeatPI5,OCPP/PT100_Uttaradit/meter,OCPP/Uttaradit/PowerModule,Radit1,2,OCPP/Uttaradit/PLC,Uttaradit,Uttaradit,Uttaradit,Uttaradit,Uttaradit,2,3,Uttaradit1/RPM
VibhavadiRangsit1,VibhavadiRangsit1,OCPP/Vibhavadi/heartbeat,OCPP/VibhavadiRangsit1/heartbeatPI5,OCPP/Vibhavadi/meter,OCPP/VibhavadiRangsit1/PowerModule,Vibhavadi,2,OCPP/VibhavadiRangsit1/PLC,VibhavadiRangsit1,Vibhavadi,VibhavadiRangsit1,VibhavadiRangsit1,Vibhavadi,2,3,VibhavadiRangsit1/RPM
VRK,VRK,OCPP/VRK/heartbeat,OCPP/VRK/heartbeatPI5,OCPP/VRK/meter,OCPP/VRK/PowerModule,VRK,2,OCPP/VRK/PLC,VRK2,VRK2,VRK2,VRK2,VRK2,2,3,VRK/RPM
VRK1,VRK1,OCPP/VRK1/heartbeat,OCPP/VRK1/heartbeatPI5,OCPP/VRK1/meter,OCPP/VRK1/PowerModule,VRK1,2,OCPP/VRK1/PLC,VRK1,VRK1,VRK1,VRK1,VRK1,2,3,VRK1/RPM
Wachirabarami1,Wachirabarami1,OCPP/Elex_DC_PT_Wachirabarami1_1/heartbeat,OCPP/Wachirabarami1/heartbeatPI5,OCPP/Elex_DC_PT_Wachirabarami1_1/meter,OCPP/Wachirabarami1/PowerModule,Wachirabarami1,2,OCPP/Wachirabarami1/PLC,Wachirabarami1,Wachirabarami1,Wachirabarami1,Wachirabarami1,Wachirabarami1,2,3,Wachirabarami1/RPM
Wangnoi3,Wangnoi3,OCPP/PT_Wangnoi3/heartbeat,OCPP/Wangnoi3/heartbeatPI5,OCPP/PT_Wangnoi3/meter,OCPP/Wangnoi3/PowerModule,Wangnoi3,2,OCPP/Wangnoi3/PLC,Wangnoi3,Wangnoi3,Wangnoi3,Wangnoi3,Wangnoi3,2,3,Wangnoi3/RPM
Wangnoi4,Wangnoi4,OCPP/PT_Wangnoi4/heartbeat,OCPP/Wangnoi4/heartbeatPI5,OCPP/PT_Wangnoi4/meter,OCPP/Wangnoi4/PowerModule,Wangnoi4,2,OCPP/Wangnoi4/PLC,Wangnoi4,Wangnoi4,Wangnoi4,Wangnoi4,Wangnoi4,2,3,Wangnoi4/RPM
Wattananakhon3,Wattananakhon3,OCPP/Elex_DC_PT_Wattananakhon3_1/heartbeat,OCPP/Wattananakhon3/heartbeatPI5,OCPP/Elex_DC_PT_Wattananakhon3_1/meter,OCPP/Wattananakhon3/PowerModule,Wattananakhon3,2,OCPP/Wattananakhon3/PLC,Wattananakhon3,Wattananakhon3,Wattananakhon3,Wattananakhon3,Wattananakhon3,2,3,Wattananakhon3/RPM
Yasothon,Yasothon,OCPP/Yasothon/heartbeat,OCPP/Yasothon/heartbeatPI5,OCPP/Yasothon/meter,OCPP/Yasothon/PowerModule,Yasothon,2,OCPP/Yasothon/PLC,Yasothon,Yasothon,Yasothon,Yasothon,Yasothon,2,3,Yasothon/RPM
